alpha,bias,degree,num_features,proj_time,projection,regr_time,scale,test_score,val_score
1e-06,0.0,4.0,10000.0,0.1838984489440918,opu,1.790388822555542,1e-05,0.8768,0.8845833333333334
1e-06,0.0,4.0,10000.0,0.1821901798248291,opu,1.754291296005249,0.0001,0.8763,0.8831666666666667
1e-06,0.0,4.0,10000.0,0.18691205978393555,opu,1.7775416374206543,0.001,0.8769,0.8791666666666667
1e-06,0.0,4.0,10000.0,0.18361806869506836,opu,1.755814552307129,0.01,0.8759,0.884
1e-06,0.0,4.0,10000.0,0.19678831100463867,opu,1.7666797637939453,0.1,0.8784,0.8834166666666666
1e-06,1.0,4.0,10000.0,0.25116896629333496,opu,1.8049776554107666,1e-05,0.8802,0.8805
1e-06,1.0,4.0,10000.0,0.2460041046142578,opu,1.7753055095672607,0.0001,0.8781,0.8825833333333334
1e-06,1.0,4.0,10000.0,0.19568967819213867,opu,1.7482903003692627,0.001,0.8774,0.8853333333333333
1e-06,1.0,4.0,10000.0,0.182877779006958,opu,1.7568297386169434,0.01,0.8788,0.885
1e-06,1.0,4.0,10000.0,0.27318787574768066,opu,1.769517421722412,0.1,0.8788,0.8845833333333334
1e-06,2.0,4.0,10000.0,0.18803715705871582,opu,1.7531764507293701,1e-05,0.8805,0.8825
1e-06,2.0,4.0,10000.0,0.1862168312072754,opu,1.7566454410552979,0.0001,0.8781,0.88525
1e-06,2.0,4.0,10000.0,0.24953746795654297,opu,1.6830544471740723,0.001,0.8789,0.8801666666666667
1e-06,2.0,4.0,10000.0,0.1876378059387207,opu,1.7785499095916748,0.01,0.8764,0.8879166666666667
1e-06,2.0,4.0,10000.0,0.20151996612548828,opu,1.7696690559387207,0.1,0.8789,0.88675
1e-06,4.0,4.0,10000.0,0.2803957462310791,opu,1.7663929462432861,1e-05,0.8764,0.8861666666666667
1e-06,4.0,4.0,10000.0,0.18128538131713867,opu,1.7599444389343262,0.0001,0.8787,0.8835
