alpha,lengthscale,num_features,proj_time,projection,regr_time,scale,test_score
0.001,11.31407055503551,10.0,29.005927085876465,rbf,0.1555330753326416,0.1,0.5077
0.001,11.31407055503551,20.0,1.4721417427062988,rbf,0.058177947998046875,0.1,0.6393
0.001,11.31407055503551,30.0,1.2066946029663086,rbf,0.025624513626098633,0.1,0.6731
0.001,11.31407055503551,40.0,2.78794264793396,rbf,0.13611865043640137,0.1,0.7105
0.001,11.31407055503551,50.0,2.242663860321045,rbf,0.04847097396850586,0.1,0.7204
0.001,11.31407055503551,60.0,2.6200571060180664,rbf,0.05035567283630371,0.1,0.7428
0.001,11.31407055503551,70.0,2.4859352111816406,rbf,0.04835629463195801,0.1,0.7606
0.001,11.31407055503551,80.0,2.212331771850586,rbf,0.06098008155822754,0.1,0.7558
0.001,11.31407055503551,90.0,2.396260976791382,rbf,0.11689209938049316,0.1,0.7748
0.001,11.31407055503551,100.0,2.767876625061035,rbf,0.07271289825439453,0.1,0.7739
0.001,11.31407055503551,200.0,2.5640878677368164,rbf,0.2450854778289795,0.1,0.8033
0.001,11.31407055503551,300.0,3.417081594467163,rbf,0.21303319931030273,0.1,0.8225
0.001,11.31407055503551,400.0,3.016042470932007,rbf,0.3612539768218994,0.1,0.8303
0.001,11.31407055503551,500.0,4.054650068283081,rbf,0.3428161144256592,0.1,0.8353
0.001,11.31407055503551,600.0,3.219853401184082,rbf,0.4419872760772705,0.1,0.8455
0.001,11.31407055503551,700.0,4.175440073013306,rbf,0.5512611865997314,0.1,0.8496
0.001,11.31407055503551,800.0,3.952338933944702,rbf,0.5702500343322754,0.1,0.8474
0.001,11.31407055503551,900.0,3.2091310024261475,rbf,0.7319333553314209,0.1,0.8524
0.001,11.31407055503551,1000.0,4.32773494720459,rbf,0.92112135887146,0.1,0.8527
0.001,11.31407055503551,2000.0,5.709682464599609,rbf,2.21639084815979,0.1,0.8673
0.001,11.31407055503551,3000.0,6.339389324188232,rbf,3.314199209213257,0.1,0.8726
0.001,11.31407055503551,4000.0,8.248458862304688,rbf,5.2262327671051025,0.1,0.8749
0.001,11.31407055503551,5000.0,9.469359159469604,rbf,7.886582374572754,0.1,0.8792
0.001,11.31407055503551,10000.0,16.791507720947266,rbf,21.91585636138916,0.1,0.8849
0.001,11.31407055503551,20000.0,37.41795754432678,rbf,61.18871474266052,0.1,0.889
0.001,11.31407055503551,50000.0,173.0886833667755,rbf,258.42532539367676,0.1,0.8912
0.001,11.31407055503551,100000.0,1506.6749985218048,rbf,2192.1622846126556,0.1,0.8938
