alpha,bias,degree,num_features,precomputed,proj_time,projection,raw_features,regr_time,scale,test_score
20000.0,0.0,2.0,10.0,1.0,0.21245980262756348,opu_physical,0.0,24.583436727523804,1.0,0.4987
20000.0,0.0,2.0,20.0,1.0,0.18087005615234375,opu_physical,0.0,0.05396533012390137,1.0,0.6203
20000.0,0.0,2.0,30.0,1.0,0.2110135555267334,opu_physical,0.0,0.02397632598876953,1.0,0.6665
20000.0,0.0,2.0,40.0,1.0,0.2118377685546875,opu_physical,0.0,0.1491258144378662,1.0,0.7006
20000.0,0.0,2.0,50.0,1.0,0.21850895881652832,opu_physical,0.0,0.02166748046875,1.0,0.7301
20000.0,0.0,2.0,60.0,1.0,0.22428226470947266,opu_physical,0.0,0.04478287696838379,1.0,0.7497
20000.0,0.0,2.0,70.0,1.0,0.22512412071228027,opu_physical,0.0,0.11960387229919434,1.0,0.7571
20000.0,0.0,2.0,80.0,1.0,0.24136900901794434,opu_physical,0.0,0.08275890350341797,1.0,0.7593
20000.0,0.0,2.0,90.0,1.0,0.25156593322753906,opu_physical,0.0,0.16170835494995117,1.0,0.7664
20000.0,0.0,2.0,100.0,1.0,0.24386072158813477,opu_physical,0.0,0.2196054458618164,1.0,0.772
20000.0,0.0,2.0,200.0,1.0,0.355010986328125,opu_physical,0.0,0.20353245735168457,1.0,0.8015
20000.0,0.0,2.0,300.0,1.0,0.5314242839813232,opu_physical,0.0,0.40785861015319824,1.0,0.8126
20000.0,0.0,2.0,400.0,1.0,0.6489064693450928,opu_physical,0.0,0.2874305248260498,1.0,0.8192
20000.0,0.0,2.0,500.0,1.0,0.7242207527160645,opu_physical,0.0,0.3773336410522461,1.0,0.821
20000.0,0.0,2.0,600.0,1.0,0.0,opu_physical,0.0,0.0,1.0,0.0
20000.0,0.0,2.0,700.0,1.0,0.0,opu_physical,0.0,0.0,1.0,0.0
20000.0,0.0,2.0,800.0,1.0,0.0,opu_physical,0.0,0.0,1.0,0.0
20000.0,0.0,2.0,900.0,1.0,0.0,opu_physical,0.0,0.0,1.0,0.0
20000.0,0.0,2.0,1000.0,1.0,1.2377347946166992,opu_physical,0.0,0.7713007926940918,1.0,0.8372
20000.0,0.0,2.0,2000.0,1.0,2.1203160285949707,opu_physical,0.0,1.9392709732055664,1.0,0.8509
20000.0,0.0,2.0,3000.0,1.0,3.1442151069641113,opu_physical,0.0,3.665980339050293,1.0,0.8566
20000.0,0.0,2.0,4000.0,1.0,3.983703136444092,opu_physical,0.0,4.679088115692139,1.0,0.8611
20000.0,0.0,2.0,5000.0,1.0,4.959993124008179,opu_physical,0.0,12.985353946685791,1.0,0.8625
20000.0,0.0,2.0,10000.0,1.0,9.912117004394531,opu_physical,0.0,28.64056706428528,1.0,0.8656
20000.0,0.0,2.0,20000.0,1.0,19.083526372909546,opu_physical,0.0,75.10591077804565,1.0,0.8678
20000.0,0.0,2.0,50000.0,1.0,76.39230394363403,opu_physical,0.0,347.5612576007843,1.0,0.8705
20000.0,0.0,2.0,100000.0,1.0,1541.3261783123016,opu_physical,0.0,1385.4351723194122,1.0,0.8725
