alpha,bias,degree,num_features,proj_time,projection,regr_time,scale,test_score
10.0,64.0,6.0,10.0,28.860451698303223,opu,0.1223454475402832,1e-09,0.4611
10.0,64.0,6.0,20.0,2.3729236125946045,opu,0.060118675231933594,1e-09,0.6026
10.0,64.0,6.0,30.0,2.478848457336426,opu,0.06825613975524902,1e-09,0.6573
10.0,64.0,6.0,40.0,4.293542861938477,opu,0.04760861396789551,1e-09,0.7024
10.0,64.0,6.0,50.0,4.526662349700928,opu,0.07056403160095215,1e-09,0.7236
10.0,64.0,6.0,60.0,4.906093120574951,opu,0.17012333869934082,1e-09,0.732
10.0,64.0,6.0,70.0,4.347333908081055,opu,0.13192534446716309,1e-09,0.7332
10.0,64.0,6.0,80.0,4.487220764160156,opu,0.2453756332397461,1e-09,0.7571
10.0,64.0,6.0,90.0,4.719026565551758,opu,0.07034611701965332,1e-09,0.774
10.0,64.0,6.0,100.0,4.941805839538574,opu,0.12184882164001465,1e-09,0.757
10.0,64.0,6.0,200.0,5.486249208450317,opu,0.34648680686950684,1e-09,0.7999
10.0,64.0,6.0,300.0,5.816696643829346,opu,0.1965939998626709,1e-09,0.8097
10.0,64.0,6.0,400.0,5.821112632751465,opu,0.310199499130249,1e-09,0.8269
10.0,64.0,6.0,500.0,5.684322118759155,opu,0.40776801109313965,1e-09,0.8263
10.0,64.0,6.0,600.0,5.926419496536255,opu,0.4261507987976074,1e-09,0.8317
10.0,64.0,6.0,700.0,6.886157035827637,opu,0.7830326557159424,1e-09,0.8394
10.0,64.0,6.0,800.0,6.896604537963867,opu,0.7063202857971191,1e-09,0.8421
10.0,64.0,6.0,900.0,6.819698333740234,opu,0.8173537254333496,1e-09,0.8441
10.0,64.0,6.0,1000.0,7.636204481124878,opu,0.7906105518341064,1e-09,0.8475
10.0,64.0,6.0,2000.0,9.153523206710815,opu,1.9075193405151367,1e-09,0.8585
10.0,64.0,6.0,3000.0,12.090008974075317,opu,3.5835301876068115,1e-09,0.8668
10.0,64.0,6.0,4000.0,12.924440860748291,opu,4.25704288482666,1e-09,0.8706
10.0,64.0,6.0,5000.0,14.936050176620483,opu,6.029959678649902,1e-09,0.8747
10.0,64.0,6.0,10000.0,31.117913961410522,opu,19.257546186447144,1e-09,0.8823
10.0,64.0,6.0,20000.0,54.73660445213318,opu,304.47441482543945,1e-09,0.8789
10.0,64.0,6.0,50000.0,142.94869232177734,opu,1555.2809116840363,1e-09,0.1
10.0,64.0,6.0,100000.0,332.5406904220581,opu,3135.6483047008514,1e-09,0.1
