alpha,bias,num_features,proj_time,projection,regr_time,scale,test_score,val_score
1e-06,0.0,10000.0,0.0,linear,0.06260204315185547,1e-05,0.7862,0.79775
1e-06,0.0,10000.0,0.0,linear,0.08939480781555176,0.0001,0.8103,0.8184166666666667
1e-06,0.0,10000.0,0.0,linear,0.019295454025268555,0.001,0.8122,0.8209166666666666
1e-06,0.0,10000.0,0.0,linear,0.019225120544433594,0.01,0.8106,0.8175833333333333
1e-06,0.0,10000.0,0.0,linear,0.021627426147460938,0.1,0.8113,0.8181666666666667
1e-06,0.0,10000.0,0.0,linear,0.01991558074951172,1.0,0.8101,0.8188333333333333
1e-06,1.0,10000.0,0.0,linear,0.04298257827758789,1e-05,0.7846,0.7940833333333334
1e-06,1.0,10000.0,0.0,linear,0.020348787307739258,0.0001,0.8093,0.81575
1e-06,1.0,10000.0,0.0,linear,0.020336151123046875,0.001,0.8108,0.8173333333333334
1e-06,1.0,10000.0,0.0,linear,0.018949508666992188,0.01,0.8103,0.8190833333333334
1e-06,1.0,10000.0,0.0,linear,0.019010543823242188,0.1,0.8114,0.81875
1e-06,1.0,10000.0,0.0,linear,0.020598888397216797,1.0,0.8117,0.823
1e-06,2.0,10000.0,0.0,linear,0.020141124725341797,1e-05,0.7858,0.7938333333333333
1e-06,2.0,10000.0,0.0,linear,0.020924091339111328,0.0001,0.8092,0.8133333333333334
1e-06,2.0,10000.0,0.0,linear,0.020381450653076172,0.001,0.8114,0.81625
1e-06,2.0,10000.0,0.0,linear,0.019057512283325195,0.01,0.8105,0.8160833333333334
1e-06,2.0,10000.0,0.0,linear,0.01898193359375,0.1,0.81,0.8205
1e-06,2.0,10000.0,0.0,linear,0.024190902709960938,1.0,0.8096,0.8188333333333333
1e-06,4.0,10000.0,0.0,linear,0.01901841163635254,1e-05,0.7857,0.796
1e-06,4.0,10000.0,0.0,linear,0.019306421279907227,0.0001,0.8109,0.81625
1e-06,4.0,10000.0,0.0,linear,0.019233226776123047,0.001,0.8098,0.8198333333333333
1e-06,4.0,10000.0,0.0,linear,0.01819324493408203,0.01,0.8121,0.8240833333333333
1e-06,4.0,10000.0,0.0,linear,0.018182039260864258,0.1,0.8119,0.8125
1e-06,4.0,10000.0,0.0,linear,0.02383279800415039,1.0,0.81,0.8195833333333333
1e-06,8.0,10000.0,0.0,linear,0.018128395080566406,1e-05,0.7848,0.78525
1e-06,8.0,10000.0,0.0,linear,0.018226146697998047,0.0001,0.8102,0.8199166666666666
1e-06,8.0,10000.0,0.0,linear,0.018204927444458008,0.001,0.8103,0.8216666666666667
1e-06,8.0,10000.0,0.0,linear,0.018244266510009766,0.01,0.8106,0.82025
1e-06,8.0,10000.0,0.0,linear,0.018244504928588867,0.1,0.8098,0.8141666666666667
1e-06,8.0,10000.0,0.0,linear,0.018147945404052734,1.0,0.8112,0.8213333333333334
1e-06,16.0,10000.0,0.0,linear,0.023737668991088867,1e-05,0.7858,0.7940833333333334
1e-06,16.0,10000.0,0.0,linear,0.01839447021484375,0.0001,0.8102,0.824
1e-06,16.0,10000.0,0.0,linear,0.018231630325317383,0.001,0.8116,0.8254166666666667
1e-06,16.0,10000.0,0.0,linear,0.021203279495239258,0.01,0.8105,0.8173333333333334
1e-06,16.0,10000.0,0.0,linear,0.01823592185974121,0.1,0.812,0.822
1e-06,16.0,10000.0,0.0,linear,0.023717164993286133,1.0,0.8095,0.82425
0.1,0.0,10000.0,0.0,linear,0.01829671859741211,1e-05,0.3259,0.3288333333333333
0.1,0.0,10000.0,0.0,linear,0.01822948455810547,0.0001,0.5513,0.557
0.1,0.0,10000.0,0.0,linear,0.018281936645507812,0.001,0.7053,0.7161666666666666
0.1,0.0,10000.0,0.0,linear,0.018250226974487305,0.01,0.8043,0.8185833333333333
0.1,0.0,10000.0,0.0,linear,0.018792152404785156,0.1,0.8098,0.817
0.1,0.0,10000.0,0.0,linear,0.018346309661865234,1.0,0.8103,0.81875
0.1,1.0,10000.0,0.0,linear,0.018236160278320312,1e-05,0.3098,0.311
0.1,1.0,10000.0,0.0,linear,0.018422365188598633,0.0001,0.5544,0.5681666666666667
0.1,1.0,10000.0,0.0,linear,0.018402814865112305,0.001,0.7045,0.714
0.1,1.0,10000.0,0.0,linear,0.018238306045532227,0.01,0.8055,0.8111666666666667
0.1,1.0,10000.0,0.0,linear,0.018172025680541992,0.1,0.8116,0.8218333333333333
0.1,1.0,10000.0,0.0,linear,0.018270492553710938,1.0,0.8096,0.8120833333333334
0.1,2.0,10000.0,0.0,linear,0.03548884391784668,1e-05,0.301,0.3001666666666667
0.1,2.0,10000.0,0.0,linear,0.10886645317077637,0.0001,0.5618,0.5689166666666666
0.1,2.0,10000.0,0.0,linear,0.018785953521728516,0.001,0.7061,0.7213333333333334
0.1,2.0,10000.0,0.0,linear,0.018830537796020508,0.01,0.8055,0.8158333333333333
0.1,2.0,10000.0,0.0,linear,0.01882767677307129,0.1,0.81,0.8203333333333334
0.1,2.0,10000.0,0.0,linear,0.018895626068115234,1.0,0.8101,0.8165833333333333
0.1,4.0,10000.0,0.0,linear,0.018787622451782227,1e-05,0.3148,0.31325
0.1,4.0,10000.0,0.0,linear,0.018703460693359375,0.0001,0.5449,0.5455833333333333
0.1,4.0,10000.0,0.0,linear,0.01884770393371582,0.001,0.7046,0.7108333333333333
0.1,4.0,10000.0,0.0,linear,0.018797874450683594,0.01,0.8065,0.8090833333333334
0.1,4.0,10000.0,0.0,linear,0.018822669982910156,0.1,0.8105,0.8201666666666667
0.1,4.0,10000.0,0.0,linear,0.07853984832763672,1.0,0.8103,0.826
0.1,8.0,10000.0,0.0,linear,0.03672337532043457,1e-05,0.3174,0.31816666666666665
0.1,8.0,10000.0,0.0,linear,0.01879572868347168,0.0001,0.5605,0.5726666666666667
