alpha,gamma,num_features,proj_time,projection,regr_time,scale,test_score,val_score
1e-06,0.000244140625,10000.0,3.576859951019287,rbf,1.902796983718872,0.001,0.8209,0.8288333333333333
1e-06,0.000244140625,10000.0,0.0,rbf,0.0,0.01,0.0,0.0
1e-06,0.000244140625,10000.0,0.0,rbf,0.0,0.1,0.0,0.0
1e-06,0.000244140625,10000.0,0.0,rbf,0.0,1.0,0.0,0.0
1e-06,0.000244140625,10000.0,0.0,rbf,0.0,10.0,0.0,0.0
1e-06,0.000244140625,10000.0,0.0,rbf,0.0,100.0,0.0,0.0
1e-06,0.00048828125,10000.0,0.10138797760009766,rbf,1.6758930683135986,0.001,0.8354,0.8429166666666666
1e-06,0.00048828125,10000.0,0.10822796821594238,rbf,1.8836231231689453,0.01,0.8742,0.8818333333333334
1e-06,0.00048828125,10000.0,0.0,rbf,0.0,0.1,0.0,0.0
1e-06,0.00048828125,10000.0,0.0,rbf,0.0,1.0,0.0,0.0
1e-06,0.00048828125,10000.0,0.0,rbf,0.0,10.0,0.0,0.0
1e-06,0.00048828125,10000.0,0.0,rbf,0.0,100.0,0.0,0.0
1e-06,0.0009765625,10000.0,0.10333728790283203,rbf,1.8336670398712158,0.001,0.8511,0.8526666666666667
1e-06,0.0009765625,10000.0,0.10256814956665039,rbf,1.7551023960113525,0.01,0.8803,0.8888333333333334
1e-06,0.0009765625,10000.0,0.14289283752441406,rbf,1.8168880939483643,0.1,0.879,0.8855833333333333
1e-06,0.0009765625,10000.0,0.10418343544006348,rbf,1.795224905014038,1.0,0.8811,0.8875833333333333
1e-06,0.0009765625,10000.0,0.14174103736877441,rbf,1.8180794715881348,10.0,0.8812,0.88725
1e-06,0.0009765625,10000.0,0.15513825416564941,rbf,1.737680435180664,100.0,0.8787,0.8845833333333334
1e-06,0.001953125,10000.0,0.11899542808532715,rbf,1.7584681510925293,0.001,0.8649,0.8695833333333334
1e-06,0.001953125,10000.0,0.13805484771728516,rbf,1.8093454837799072,0.01,0.8839,0.8908333333333334
1e-06,0.001953125,10000.0,0.10653328895568848,rbf,1.8810234069824219,0.1,0.8797,0.8856666666666667
1e-06,0.001953125,10000.0,0.1435253620147705,rbf,1.829507827758789,1.0,0.8788,0.8829166666666667
1e-06,0.001953125,10000.0,0.14646267890930176,rbf,1.7615001201629639,10.0,0.8802,0.8824166666666666
1e-06,0.001953125,10000.0,0.1704998016357422,rbf,1.8268382549285889,100.0,0.8829,0.8869166666666667
1e-06,0.00390625,10000.0,0.10869765281677246,rbf,1.7721993923187256,0.001,0.8729,0.8850833333333333
1e-06,0.00390625,10000.0,0.1102299690246582,rbf,1.8292996883392334,0.01,0.8859,0.8946666666666667
1e-06,0.00390625,10000.0,0.10274028778076172,rbf,1.908614158630371,0.1,0.8811,0.8885833333333333
1e-06,0.00390625,10000.0,0.11290669441223145,rbf,1.8331522941589355,1.0,0.8815,0.889
1e-06,0.00390625,10000.0,0.10175395011901855,rbf,1.8943521976470947,10.0,0.8838,0.8880833333333333
1e-06,0.00390625,10000.0,0.14788174629211426,rbf,1.673668384552002,100.0,0.8829,0.8888333333333334
1e-06,0.0078125,10000.0,0.10108399391174316,rbf,1.7203154563903809,0.001,0.8821,0.88475
1e-06,0.0078125,10000.0,0.1012110710144043,rbf,1.8125996589660645,0.01,0.878,0.88925
1e-06,0.0078125,10000.0,0.11024165153503418,rbf,1.7548859119415283,0.1,0.8831,0.88725
1e-06,0.0078125,10000.0,0.1378793716430664,rbf,1.9306626319885254,1.0,0.8836,0.8834166666666666
1e-06,0.0078125,10000.0,0.1389009952545166,rbf,1.81744384765625,10.0,0.8779,0.8895
1e-06,0.0078125,10000.0,0.1064605712890625,rbf,1.7006433010101318,100.0,0.8822,0.8906666666666667
