alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
100.0,0.5,0.0,opu,5000.0,1.0,0.0,0.8764,65.55724763870239,0.8825833333333334,5.0
10.0,0.5,0.0,opu,5000.0,1.0,0.0,0.8766,65.55724763870239,0.8825,5.0
1.0,0.5,0.0,opu,5000.0,1.0,0.0,0.8766,65.55724763870239,0.8825,5.0
0.1,0.5,0.0,opu,5000.0,1.0,0.0,0.8766,65.55724763870239,0.8825833333333334,5.0
0.01,0.5,0.0,opu,5000.0,1.0,0.0,0.8766,65.55724763870239,0.8825833333333334,5.0
0.0,0.5,0.0,opu,5000.0,1.0,0.0,0.8766,65.55724763870239,0.8825,5.0
100.0,0.5,0.0,opu,5000.0,0.1,0.0,0.8703,63.95995855331421,0.8775833333333334,3.0
10.0,0.5,0.0,opu,5000.0,0.1,0.0,0.8757,63.95995855331421,0.88225,3.0
1.0,0.5,0.0,opu,5000.0,0.1,0.0,0.8764,63.95995855331421,0.88275,3.0
0.1,0.5,0.0,opu,5000.0,0.1,0.0,0.8766,63.95995855331421,0.8824166666666666,3.0
0.01,0.5,0.0,opu,5000.0,0.1,0.0,0.8766,63.95995855331421,0.8825,3.0
0.0,0.5,0.0,opu,5000.0,0.1,0.0,0.8766,63.95995855331421,0.8825,3.0
100.0,0.5,0.0,opu,5000.0,0.01,0.0,0.8214,63.689598083496094,0.82725,1.0
10.0,0.5,0.0,opu,5000.0,0.01,0.0,0.8556,63.689598083496094,0.8625833333333334,1.0
1.0,0.5,0.0,opu,5000.0,0.01,0.0,0.8703,63.689598083496094,0.8775833333333334,1.0
0.1,0.5,0.0,opu,5000.0,0.01,0.0,0.8757,63.689598083496094,0.8823333333333333,1.0
0.01,0.5,0.0,opu,5000.0,0.01,0.0,0.8764,63.689598083496094,0.8825833333333334,1.0
0.0,0.5,0.0,opu,5000.0,0.01,0.0,0.8766,63.689598083496094,0.8825,1.0
100.0,0.5,0.0,opu,5000.0,0.001,0.0,0.7066,64.35992169380188,0.71825,1.0
10.0,0.5,0.0,opu,5000.0,0.001,0.0,0.7746,64.35992169380188,0.78275,1.0
1.0,0.5,0.0,opu,5000.0,0.001,0.0,0.8214,64.35992169380188,0.82725,1.0
0.1,0.5,0.0,opu,5000.0,0.001,0.0,0.8556,64.35992169380188,0.8625833333333334,1.0
0.01,0.5,0.0,opu,5000.0,0.001,0.0,0.8703,64.35992169380188,0.8775833333333334,1.0
0.0,0.5,0.0,opu,5000.0,0.001,0.0,0.8766,64.35992169380188,0.8825,1.0
100.0,0.5,0.0,opu,5000.0,0.0001,0.0,0.6283,63.100950717926025,0.5633333333333334,1.0
10.0,0.5,0.0,opu,5000.0,0.0001,0.0,0.6457,63.100950717926025,0.6605,1.0
1.0,0.5,0.0,opu,5000.0,0.0001,0.0,0.7066,63.100950717926025,0.71825,1.0
0.1,0.5,0.0,opu,5000.0,0.0001,0.0,0.7746,63.100950717926025,0.78275,1.0
0.01,0.5,0.0,opu,5000.0,0.0001,0.0,0.8214,63.100950717926025,0.82725,1.0
0.0,0.5,0.0,opu,5000.0,0.0001,0.0,0.8766,63.100950717926025,0.8825,1.0
100.0,0.5,0.0,opu,5000.0,1e-05,0.0,0.6266,60.219517946243286,0.09575,1.0
10.0,0.5,0.0,opu,5000.0,1e-05,0.0,0.6268,60.219517946243286,0.185,1.0
1.0,0.5,0.0,opu,5000.0,1e-05,0.0,0.6283,60.219517946243286,0.5633333333333334,1.0
0.1,0.5,0.0,opu,5000.0,1e-05,0.0,0.6457,60.219517946243286,0.6605,1.0
0.01,0.5,0.0,opu,5000.0,1e-05,0.0,0.7066,60.219517946243286,0.71825,1.0
0.0,0.5,0.0,opu,5000.0,1e-05,0.0,0.8766,60.219517946243286,0.8825,1.0
100.0,0.5,1.0,opu,5000.0,1.0,0.0,0.8763,63.58752417564392,0.8815833333333334,12.0
10.0,0.5,1.0,opu,5000.0,1.0,0.0,0.8761,63.58752417564392,0.8811666666666667,12.0
1.0,0.5,1.0,opu,5000.0,1.0,0.0,0.8761,63.58752417564392,0.8809166666666667,12.0
0.1,0.5,1.0,opu,5000.0,1.0,0.0,0.8761,63.58752417564392,0.881,12.0
0.01,0.5,1.0,opu,5000.0,1.0,0.0,0.8761,63.58752417564392,0.881,12.0
0.0,0.5,1.0,opu,5000.0,1.0,0.0,0.8761,63.58752417564392,0.881,12.0
