alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
100.0,0.5,1.0,opu,10000.0,1.0,0.0,0.8853,221.99866604804993,0.8777,7.0
10.0,0.5,1.0,opu,10000.0,1.0,0.0,0.8853,221.99866604804993,0.8744166666666666,7.0
1.0,0.5,1.0,opu,10000.0,1.0,0.0,0.8853,221.99866604804993,0.87405,7.0
0.1,0.5,1.0,opu,10000.0,1.0,0.0,0.8853,221.99866604804993,0.87395,7.0
0.01,0.5,1.0,opu,10000.0,1.0,0.0,0.8853,221.99866604804993,0.8739166666666667,7.0
0.0,0.5,1.0,opu,10000.0,1.0,0.0,0.8853,221.99866604804993,0.8739833333333333,7.0
100.0,0.5,1.0,opu,10000.0,0.1,0.0,0.8787,220.50596928596497,0.88,6.0
10.0,0.5,1.0,opu,10000.0,0.1,0.0,0.8842,220.50596928596497,0.8821666666666667,6.0
1.0,0.5,1.0,opu,10000.0,0.1,0.0,0.8853,220.50596928596497,0.8777333333333334,6.0
0.1,0.5,1.0,opu,10000.0,0.1,0.0,0.8854,220.50596928596497,0.8744666666666666,6.0
0.01,0.5,1.0,opu,10000.0,0.1,0.0,0.8853,220.50596928596497,0.8741,6.0
0.0,0.5,1.0,opu,10000.0,0.1,0.0,0.8853,220.50596928596497,0.87405,6.0
100.0,0.5,1.0,opu,10000.0,0.01,0.0,0.8351,225.8525094985962,0.8296,4.0
10.0,0.5,1.0,opu,10000.0,0.01,0.0,0.863,225.8525094985962,0.8642833333333333,4.0
1.0,0.5,1.0,opu,10000.0,0.01,0.0,0.8787,225.8525094985962,0.88,4.0
0.1,0.5,1.0,opu,10000.0,0.01,0.0,0.8841,225.8525094985962,0.88215,4.0
0.01,0.5,1.0,opu,10000.0,0.01,0.0,0.8853,225.8525094985962,0.8777333333333334,4.0
0.0,0.5,1.0,opu,10000.0,0.01,0.0,0.8853,225.8525094985962,0.8740666666666667,4.0
100.0,0.5,1.0,opu,10000.0,0.001,0.0,0.7306,223.2090380191803,0.71175,1.0
10.0,0.5,1.0,opu,10000.0,0.001,0.0,0.7907,223.2090380191803,0.7837333333333333,1.0
1.0,0.5,1.0,opu,10000.0,0.001,0.0,0.8351,223.2090380191803,0.8296,1.0
0.1,0.5,1.0,opu,10000.0,0.001,0.0,0.863,223.2090380191803,0.8642833333333333,1.0
0.01,0.5,1.0,opu,10000.0,0.001,0.0,0.8787,223.2090380191803,0.88,1.0
0.0,0.5,1.0,opu,10000.0,0.001,0.0,0.8853,223.2090380191803,0.874,1.0
