index, timestamp, power.draw [W]
0, 2019/09/06 14:11:28.969, 33.67 W
1, 2019/09/06 14:11:28.976, 30.27 W
2, 2019/09/06 14:11:28.980, 35.13 W
0, 2019/09/06 14:11:30.987, 33.92 W
1, 2019/09/06 14:11:31.102, 30.27 W
2, 2019/09/06 14:11:31.110, 34.89 W
0, 2019/09/06 14:11:33.706, 34.16 W
1, 2019/09/06 14:11:34.217, 31.73 W
2, 2019/09/06 14:11:34.226, 35.13 W
0, 2019/09/06 14:11:36.230, 33.92 W
1, 2019/09/06 14:11:36.296, 31.49 W
2, 2019/09/06 14:11:36.300, 34.89 W
0, 2019/09/06 14:11:38.306, 33.92 W
1, 2019/09/06 14:11:38.310, 31.49 W
2, 2019/09/06 14:11:38.315, 34.64 W
0, 2019/09/06 14:11:40.320, 33.67 W
1, 2019/09/06 14:11:40.736, 31.49 W
2, 2019/09/06 14:11:40.740, 34.64 W
0, 2019/09/06 14:11:42.766, 30.01 W
1, 2019/09/06 14:11:43.071, 31.73 W
2, 2019/09/06 14:11:43.087, 34.89 W
0, 2019/09/06 14:11:45.095, 29.53 W
1, 2019/09/06 14:11:45.167, 31.73 W
2, 2019/09/06 14:11:45.668, 36.11 W
0, 2019/09/06 14:11:47.677, 30.26 W
1, 2019/09/06 14:11:47.768, 31.49 W
2, 2019/09/06 14:11:47.773, 35.86 W
0, 2019/09/06 14:11:49.866, 29.77 W
1, 2019/09/06 14:11:49.872, 31.73 W
2, 2019/09/06 14:11:49.876, 35.86 W
0, 2019/09/06 14:11:51.967, 30.01 W
1, 2019/09/06 14:11:51.976, 31.73 W
2, 2019/09/06 14:11:51.981, 36.35 W
0, 2019/09/06 14:11:53.989, 30.26 W
1, 2019/09/06 14:11:54.067, 31.73 W
2, 2019/09/06 14:11:54.072, 36.11 W
0, 2019/09/06 14:11:56.077, 29.53 W
1, 2019/09/06 14:11:56.081, 31.49 W
2, 2019/09/06 14:11:56.086, 36.11 W
0, 2019/09/06 14:11:58.167, 31.24 W
1, 2019/09/06 14:11:58.175, 31.49 W
2, 2019/09/06 14:11:58.180, 36.11 W
0, 2019/09/06 14:12:00.184, 30.75 W
1, 2019/09/06 14:12:00.267, 31.49 W
2, 2019/09/06 14:12:00.272, 33.18 W
